engagement_id,campaign_id,hcp_id,rep_id,territory_id,engagement_date,channel,engagement_type,opened,clicked,attended,response_score
ENG000059,CAMP0002,HCP0098,REP002,T002,2025-06-13,Email,Opened Content,True,True,False,81
ENG000060,CAMP0002,HCP0110,REP014,T002,2025-06-03,Email,Clicked Link,False,False,False,61
ENG000061,CAMP0002,HCP0338,REP014,T002,2025-05-22,Email,Opened Content,True,False,True,56
ENG000062,CAMP0002,HCP0338,REP002,T002,2025-05-14,Digital Ad,Clicked Link,True,True,False,33
ENG000063,CAMP0002,HCP0338,REP014,T002,2025-06-08,Digital Ad,Attended,False,False,True,33
ENG000064,CAMP0002,HCP0110,REP014,T002,2025-06-19,Field Event,Attended,False,False,False,70
ENG000065,CAMP0002,HCP0362,REP002,T002,2025-06-02,Email,Clicked Link,False,False,False,24
ENG000066,CAMP0002,HCP0158,REP026,T002,2025-05-25,Digital Ad,Downloaded,True,True,True,51
ENG000067,CAMP0002,HCP0158,REP002,T002,2025-05-31,Webinar,Attended,False,False,False,69
ENG000068,CAMP0002,HCP0158,REP038,T002,2025-06-18,Webinar,Opened Content,True,False,False,37
ENG000069,CAMP0002,HCP0158,REP002,T002,2025-05-18,Field Event,Opened Content,True,True,True,31
ENG000070,CAMP0002,HCP0362,REP002,T002,2025-05-07,Field Event,Attended,True,True,True,94
ENG000071,CAMP0003,HCP0135,REP015,T003,2025-10-23,Webinar,Attended,True,True,True,97
ENG000072,CAMP0003,HCP0459,REP015,T003,2025-10-30,Field Event,Downloaded,True,True,True,39
ENG000073,CAMP0003,HCP0495,REP027,T003,2025-11-07,Email,Downloaded,True,True,True,83
ENG000074,CAMP0003,HCP0051,REP027,T003,2025-10-12,Email,Attended,False,False,False,83
ENG000075,CAMP0003,HCP0099,REP015,T003,2025-11-06,Field Event,Downloaded,False,False,False,24
ENG000076,CAMP0003,HCP0327,REP027,T003,2025-10-31,Webinar,Clicked Link,False,False,True,58
ENG000077,CAMP0003,HCP0051,REP003,T003,2025-11-20,Webinar,Opened Content,False,False,False,12
ENG000078,CAMP0003,HCP0123,REP039,T003,2025-10-13,Digital Ad,Clicked Link,True,False,True,79
ENG000079,CAMP0003,HCP0015,REP003,T003,2025-11-10,Field Event,Clicked Link,True,False,False,28
ENG000080,CAMP0003,HCP0147,REP039,T003,2025-11-17,Email,Opened Content,True,True,False,64
ENG000081,CAMP0003,HCP0423,REP027,T003,2025-11-22,Digital Ad,Registered,True,False,False,71
ENG000082,CAMP0003,HCP0183,REP039,T003,2025-11-07,Digital Ad,Opened Content,False,False,False,53
ENG000083,CAMP0003,HCP0291,REP015,T003,2025-11-10,Email,Downloaded,True,False,False,6
ENG000084,CAMP0003,HCP0411,REP027,T003,2025-10-23,Webinar,Attended,True,False,False,14
ENG000085,CAMP0003,HCP0495,REP027,T003,2025-11-22,Email,Downloaded,False,False,True,80
ENG000086,CAMP0003,HCP0339,REP027,T003,2025-10-14,Digital Ad,Registered,False,False,True,22
ENG000087,CAMP0003,HCP0219,REP039,T003,2025-10-20,Field Event,Opened Content,True,False,False,55
ENG000088,CAMP0003,HCP0483,REP027,T003,2025-10-23,Webinar,Registered,False,False,False,100
ENG000089,CAMP0003,HCP0171,REP027,T003,2025-10-20,Field Event,Clicked Link,True,False,False,84
ENG000090,CAMP0003,HCP0423,REP015,T003,2025-10-22,Field Event,Registered,True,False,False,43
ENG000091,CAMP0003,HCP0123,REP015,T003,2025-11-15,Digital Ad,Opened Content,True,True,False,9
ENG000092,CAMP0003,HCP0483,REP003,T003,2025-10-14,Digital Ad,Clicked Link,True,True,False,23
ENG000093,CAMP0003,HCP0219,REP003,T003,2025-11-13,Webinar,Attended,True,True,False,94
ENG000094,CAMP0003,HCP0351,REP003,T003,2025-11-22,Email,Clicked Link,True,False,False,73
ENG000095,CAMP0003,HCP0399,REP015,T003,2025-10-14,Webinar,Registered,True,True,False,90
ENG000096,CAMP0003,HCP0315,REP027,T003,2025-10-12,Field Event,Opened Content,True,True,False,5
ENG000097,CAMP0003,HCP0447,REP003,T003,2025-10-25,Field Event,Opened Content,True,True,False,4
ENG000098,CAMP0003,HCP0099,REP027,T003,2025-11-17,Email,Downloaded,True,False,False,36
ENG000099,CAMP0003,HCP0471,REP027,T003,2025-10-26,Email,Registered,True,True,False,15
ENG000100,CAMP0003,HCP0063,REP039,T003,2025-10-09,Digital Ad,Downloaded,True,True,False,54
ENG000101,CAMP0003,HCP0135,REP027,T003,2025-11-04,Field Event,Registered,True,False,False,55
ENG000102,CAMP0003,HCP0039,REP003,T003,2025-11-07,Email,Downloaded,True,True,False,65
ENG000103,CAMP0004,HCP0184,REP040,T004,2025-09-09,Field Event,Attended,True,True,False,16
ENG000104,CAMP0004,HCP0364,REP028,T004,2025-06-23,Field Event,Downloaded,True,True,True,29
ENG000105,CAMP0004,HCP0256,REP016,T004,2025-09-14,Email,Opened Content,True,True,False,56
ENG000106,CAMP0004,HCP0316,REP028,T004,2025-08-03,Email,Downloaded,True,False,True,32
ENG000107,CAMP0004,HCP0220,REP028,T004,2025-07-04,Email,Downloaded,True,False,False,56
ENG000108,CAMP0004,HCP0388,REP028,T004,2025-07-04,Field Event,Downloaded,False,False,False,3
ENG000109,CAMP0004,HCP0256,REP028,T004,2025-07-09,Webinar,Attended,True,True,True,64
ENG000110,CAMP0004,HCP0160,REP028,T004,2025-09-15,Digital Ad,Attended,False,False,True,18
ENG000111,CAMP0004,HCP0016,REP016,T004,2025-09-02,Field Event,Downloaded,True,True,False,57
ENG000112,CAMP0004,HCP0496,REP040,T004,2025-06-30,Email,Attended,True,True,False,78
ENG000113,CAMP0004,HCP0316,REP016,T004,2025-08-23,Email,Downloaded,False,False,False,76
ENG000114,CAMP0004,HCP0124,REP028,T004,2025-08-28,Email,Attended,True,True,False,40
ENG000115,CAMP0004,HCP0196,REP028,T004,2025-09-07,Webinar,Clicked Link,False,False,False,1
ENG000116,CAMP0004,HCP0364,REP040,T004,2025-07-12,Email,Downloaded,True,False,True,49
ENG000117,CAMP0004,HCP0364,REP016,T004,2025-09-05,Digital Ad,Attended,True,True,False,62
ENG000118,CAMP0004,HCP0436,REP028,T004,2025-09-13,Webinar,Opened Content,True,True,False,74
ENG000119,CAMP0004,HCP0316,REP016,T004,2025-08-22,Email,Registered,True,False,False,67
ENG000120,CAMP0004,HCP0076,REP028,T004,2025-07-30,Webinar,Opened Content,True,True,True,87
ENG000121,CAMP0004,HCP0052,REP004,T004,2025-09-08,Webinar,Attended,True,False,True,49
ENG000122,CAMP0004,HCP0472,REP028,T004,2025-06-15,Email,Clicked Link,True,False,False,10
ENG000123,CAMP0004,HCP0472,REP004,T004,2025-07-22,Email,Attended,True,True,True,19
ENG000124,CAMP0004,HCP0496,REP016,T004,2025-07-16,Digital Ad,Downloaded,True,False,False,11
ENG000125,CAMP0004,HCP0208,REP004,T004,2025-07-17,Webinar,Clicked Link,True,False,False,13
ENG000126,CAMP0004,HCP0220,REP004,T004,2025-08-22,Webinar,Clicked Link,True,False,False,67
ENG000127,CAMP0004,HCP0196,REP040,T004,2025-07-08,Webinar,Attended,True,False,True,2
ENG000128,CAMP0004,HCP0148,REP016,T004,2025-09-09,Email,Attended,True,False,False,40
ENG000129,CAMP0004,HCP0388,REP004,T004,2025-07-09,Field Event,Downloaded,True,False,False,60
ENG000130,CAMP0004,HCP0172,REP028,T004,2025-08-21,Webinar,Opened Content,True,False,False,5
ENG000131,CAMP0004,HCP0472,REP016,T004,2025-08-09,Field Event,Opened Content,True,True,False,8
ENG000132,CAMP0004,HCP0376,REP016,T004,2025-06-24,Webinar,Clicked Link,True,True,False,53
ENG000133,CAMP0004,HCP0052,REP004,T004,2025-08-09,Field Event,Downloaded,True,False,False,44
ENG000134,CAMP0004,HCP0352,REP004,T004,2025-08-06,Webinar,Registered,False,False,False,97
ENG000135,CAMP0004,HCP0004,REP028,T004,2025-07-30,Field Event,Opened Content,False,False,False,10
ENG000136,CAMP0004,HCP0040,REP028,T004,2025-06-14,Field Event,Attended,True,False,False,16
ENG000137,CAMP0004,HCP0100,REP028,T004,2025-06-20,Field Event,Clicked Link,True,False,True,50
ENG000138,CAMP0004,HCP0100,REP004,T004,2025-07-11,Digital Ad,Clicked Link,False,False,False,4
ENG000139,CAMP0004,HCP0436,REP016,T004,2025-06-17,Webinar,Opened Content,False,False,False,22
ENG000140,CAMP0005,HCP0077,REP017,T005,2025-04-19,Webinar,Clicked Link,True,False,False,15
ENG000141,CAMP0005,HCP0137,REP017,T005,2025-05-29,Digital Ad,Registered,True,False,True,1
ENG000142,CAMP0005,HCP0449,REP029,T005,2025-04-01,Digital Ad,Clicked Link,True,False,False,73
ENG000143,CAMP0005,HCP0173,REP017,T005,2025-06-06,Email,Attended,True,True,False,84
ENG000144,CAMP0005,HCP0269,REP029,T005,2025-06-08,Field Event,Clicked Link,True,True,False,82
ENG000145,CAMP0005,HCP0437,REP029,T005,2025-03-14,Field Event,Attended,True,True,False,40
ENG000146,CAMP0005,HCP0089,REP005,T005,2025-06-02,Digital Ad,Downloaded,True,True,False,57
ENG000147,CAMP0005,HCP0485,REP029,T005,2025-04-19,Email,Downloaded,True,False,False,96
ENG000148,CAMP0005,HCP0365,REP017,T005,2025-05-30,Digital Ad,Downloaded,True,False,False,83
ENG000149,CAMP0005,HCP0089,REP017,T005,2025-04-04,Webinar,Registered,True,False,False,43
ENG000150,CAMP0005,HCP0197,REP005,T005,2025-04-20,Digital Ad,Opened Content,True,True,True,51
ENG000151,CAMP0005,HCP0089,REP005,T005,2025-04-01,Email,Attended,False,False,False,93
ENG000152,CAMP0005,HCP0197,REP005,T005,2025-05-18,Field Event,Opened Content,True,False,True,26
ENG000153,CAMP0005,HCP0269,REP005,T005,2025-02-17,Webinar,Opened Content,True,True,False,73
ENG000154,CAMP0005,HCP0257,REP029,T005,2025-03-10,Email,Attended,True,False,False,11
ENG000155,CAMP0005,HCP0377,REP029,T005,2025-05-13,Digital Ad,Downloaded,True,False,False,92
ENG000156,CAMP0005,HCP0497,REP029,T005,2025-04-23,Digital Ad,Registered,True,True,False,50
ENG000157,CAMP0005,HCP0449,REP005,T005,2025-05-30,Webinar,Clicked Link,True,False,False,81
ENG000158,CAMP0005,HCP0449,REP017,T005,2025-05-07,Field Event,Attended,True,True,False,31
ENG000159,CAMP0005,HCP0269,REP029,T005,2025-04-02,Digital Ad,Opened Content,False,False,True,49
ENG000160,CAMP0006,HCP0402,REP030,T006,2025-09-14,Webinar,Opened Content,True,False,False,58
ENG000161,CAMP0006,HCP0138,REP018,T006,2025-07-31,Webinar,Registered,True,True,False,63
ENG000162,CAMP0006,HCP0138,REP018,T006,2025-09-17,Field Event,Clicked Link,False,False,False,9
ENG000163,CAMP0006,HCP0498,REP018,T006,2025-07-31,Field Event,Attended,True,False,False,88
ENG000164,CAMP0006,HCP0402,REP006,T006,2025-09-10,Digital Ad,Opened Content,True,False,True,59
ENG000165,CAMP0006,HCP0078,REP030,T006,2025-07-18,Email,Opened Content,True,False,False,76
ENG000166,CAMP0006,HCP0390,REP006,T006,2025-09-10,Webinar,Downloaded,True,False,True,92
ENG000167,CAMP0006,HCP0390,REP030,T006,2025-08-11,Field Event,Registered,False,False,False,21
ENG000168,CAMP0006,HCP0450,REP006,T006,2025-08-17,Webinar,Downloaded,False,False,True,36
ENG000169,CAMP0006,HCP0102,REP006,T006,2025-09-02,Email,Registered,False,False,False,8
ENG000170,CAMP0006,HCP0138,REP006,T006,2025-08-30,Field Event,Attended,True,False,False,68
ENG000171,CAMP0006,HCP0366,REP018,T006,2025-08-18,Webinar,Registered,False,False,False,43
ENG000172,CAMP0006,HCP0198,REP018,T006,2025-08-23,Email,Downloaded,True,True,True,67
ENG000173,CAMP0006,HCP0102,REP018,T006,2025-09-15,Digital Ad,Registered,True,True,False,43
ENG000174,CAMP0006,HCP0390,REP006,T006,2025-07-23,Email,Attended,True,False,False,12
ENG000175,CAMP0006,HCP0498,REP018,T006,2025-08-07,Email,Attended,True,False,False,30
ENG000176,CAMP0006,HCP0246,REP030,T006,2025-08-02,Webinar,Clicked Link,True,False,True,72
ENG000177,CAMP0006,HCP0174,REP030,T006,2025-08-14,Digital Ad,Attended,True,True,False,3
ENG000178,CAMP0006,HCP0198,REP006,T006,2025-07-18,Field Event,Opened Content,True,True,False,75
ENG000179,CAMP0006,HCP0138,REP030,T006,2025-08-16,Email,Opened Content,False,False,False,81
ENG000180,CAMP0006,HCP0366,REP018,T006,2025-08-07,Digital Ad,Clicked Link,True,True,False,18
ENG000181,CAMP0006,HCP0366,REP030,T006,2025-07-28,Webinar,Registered,True,False,False,55
ENG000182,CAMP0006,HCP0390,REP006,T006,2025-09-16,Digital Ad,Downloaded,True,False,True,58
ENG000183,CAMP0006,HCP0366,REP030,T006,2025-09-14,Digital Ad,Downloaded,False,False,False,28
ENG000184,CAMP0006,HCP0198,REP006,T006,2025-08-06,Field Event,Clicked Link,False,False,False,83
ENG000185,CAMP0006,HCP0138,REP030,T006,2025-07-21,Webinar,Clicked Link,True,False,False,40
ENG000186,CAMP0007,HCP0487,REP031,T007,2025-05-17,Field Event,Attended,True,True,False,14
ENG000187,CAMP0007,HCP0295,REP019,T007,2025-06-18,Field Event,Opened Content,False,False,True,90
ENG000188,CAMP0007,HCP0283,REP019,T007,2025-05-23,Email,Attended,True,True,False,34
ENG000189,CAMP0007,HCP0259,REP019,T007,2025-05-11,Digital Ad,Clicked Link,False,False,False,100
ENG000190,CAMP0007,HCP0463,REP031,T007,2025-05-27,Webinar,Opened Content,True,False,False,62
ENG000191,CAMP0007,HCP0211,REP007,T007,2025-05-29,Email,Downloaded,True,False,True,43
ENG000192,CAMP0007,HCP0319,REP007,T007,2025-06-16,Webinar,Attended,False,False,False,8
ENG000193,CAMP0007,HCP0379,REP007,T007,2025-06-18,Digital Ad,Clicked Link,True,True,False,96
ENG000194,CAMP0007,HCP0343,REP007,T007,2025-05-10,Digital Ad,Clicked Link,False,False,False,36
ENG000195,CAMP0007,HCP0307,REP031,T007,2025-06-17,Digital Ad,Clicked Link,True,True,False,6
ENG000196,CAMP0007,HCP0379,REP031,T007,2025-06-13,Field Event,Registered,False,False,False,37
ENG000197,CAMP0007,HCP0451,REP031,T007,2025-05-19,Webinar,Downloaded,True,True,False,6
ENG000198,CAMP0007,HCP0451,REP019,T007,2025-06-06,Webinar,Downloaded,False,False,False,76
ENG000199,CAMP0007,HCP0211,REP019,T007,2025-06-13,Webinar,Registered,False,False,False,89
ENG000200,CAMP0007,HCP0223,REP031,T007,2025-06-21,Field Event,Downloaded,False,False,True,57
ENG000201,CAMP0007,HCP0283,REP007,T007,2025-06-23,Email,Clicked Link,False,False,False,66
ENG000202,CAMP0007,HCP0115,REP007,T007,2025-05-16,Digital Ad,Clicked Link,True,True,False,66
ENG000203,CAMP0007,HCP0427,REP031,T007,2025-05-21,Digital Ad,Registered,True,False,False,7
ENG000204,CAMP0007,HCP0487,REP031,T007,2025-06-13,Field Event,Opened Content,False,False,False,24
ENG000205,CAMP0007,HCP0223,REP007,T007,2025-06-28,Webinar,Registered,True,True,False,95
ENG000206,CAMP0007,HCP0115,REP031,T007,2025-06-14,Email,Attended,False,False,False,23
ENG000207,CAMP0007,HCP0343,REP007,T007,2025-05-29,Digital Ad,Opened Content,False,False,True,25
ENG000208,CAMP0007,HCP0079,REP007,T007,2025-05-25,Digital Ad,Downloaded,False,False,False,39
ENG000209,CAMP0007,HCP0487,REP007,T007,2025-06-06,Webinar,Attended,True,False,False,26
ENG000210,CAMP0007,HCP0427,REP007,T007,2025-06-03,Email,Attended,True,False,False,65
ENG000211,CAMP0007,HCP0487,REP007,T007,2025-06-07,Digital Ad,Downloaded,True,False,False,13
ENG000212,CAMP0007,HCP0427,REP031,T007,2025-05-10,Digital Ad,Registered,True,True,False,17
ENG000213,CAMP0007,HCP0211,REP007,T007,2025-06-30,Webinar,Downloaded,True,True,False,29
ENG000214,CAMP0008,HCP0116,REP008,T008,2025-03-07,Email,Attended,True,True,False,21
ENG000215,CAMP0008,HCP0116,REP020,T008,2025-03-16,Webinar,Downloaded,True,False,False,85
ENG000216,CAMP0008,HCP0248,REP008,T008,2025-02-19,Email,Opened Content,True,False,False,9
ENG000217,CAMP0008,HCP0260,REP008,T008,2025-02-09,Digital Ad,Opened Content,True,False,False,9
ENG000218,CAMP0008,HCP0296,REP020,T008,2025-03-18,Digital Ad,Downloaded,False,False,False,10
ENG000219,CAMP0008,HCP0068,REP008,T008,2025-03-13,Email,Opened Content,False,False,False,72
ENG000220,CAMP0008,HCP0260,REP032,T008,2025-03-14,Email,Registered,True,True,False,53
ENG000221,CAMP0008,HCP0368,REP008,T008,2025-02-10,Email,Registered,True,True,False,75
ENG000222,CAMP0008,HCP0260,REP032,T008,2025-02-07,Email,Attended,False,False,True,100
ENG000223,CAMP0008,HCP0224,REP032,T008,2025-02-28,Webinar,Clicked Link,True,True,False,85
ENG000224,CAMP0008,HCP0068,REP008,T008,2025-04-02,Email,Downloaded,True,False,False,99
ENG000225,CAMP0008,HCP0248,REP032,T008,2025-02-07,Webinar,Opened Content,True,True,False,38
ENG000226,CAMP0008,HCP0116,REP020,T008,2025-03-17,Webinar,Opened Content,True,False,False,97
ENG000227,CAMP0008,HCP0296,REP032,T008,2025-02-25,Field Event,Registered,True,False,False,39
ENG000228,CAMP0008,HCP0068,REP032,T008,2025-02-12,Webinar,Opened Content,True,True,False,18
ENG000229,CAMP0008,HCP0296,REP008,T008,2025-03-15,Field Event,Attended,True,True,False,20
ENG000230,CAMP0008,HCP0464,REP020,T008,2025-03-13,Webinar,Registered,True,False,True,8
ENG000231,CAMP0008,HCP0248,REP020,T008,2025-02-16,Email,Downloaded,True,False,False,88
ENG000232,CAMP0008,HCP0464,REP008,T008,2025-03-11,Field Event,Registered,True,False,False,3
ENG000233,CAMP0008,HCP0368,REP032,T008,2025-02-12,Webinar,Registered,True,False,False,100
ENG000234,CAMP0008,HCP0116,REP020,T008,2025-03-30,Digital Ad,Clicked Link,False,False,False,20
ENG000235,CAMP0008,HCP0260,REP032,T008,2025-03-23,Digital Ad,Registered,True,True,True,71
ENG000236,CAMP0008,HCP0368,REP032,T008,2025-02-21,Email,Attended,True,True,True,40
ENG000237,CAMP0008,HCP0464,REP032,T008,2025-02-15,Digital Ad,Attended,False,False,True,74
ENG000238,CAMP0008,HCP0248,REP020,T008,2025-02-03,Webinar,Downloaded,True,False,False,31
ENG000239,CAMP0008,HCP0248,REP032,T008,2025-02-25,Digital Ad,Opened Content,True,False,False,47
ENG000240,CAMP0008,HCP0068,REP032,T008,2025-04-03,Field Event,Downloaded,True,False,False,12
ENG000241,CAMP0008,HCP0224,REP032,T008,2025-04-11,Digital Ad,Downloaded,True,False,False,7
ENG000242,CAMP0008,HCP0068,REP032,T008,2025-03-21,Digital Ad,Registered,True,False,False,97
ENG000243,CAMP0008,HCP0368,REP032,T008,2025-02-14,Field Event,Registered,True,True,False,40
ENG000244,CAMP0008,HCP0068,REP020,T008,2025-02-21,Webinar,Opened Content,True,True,False,22
ENG000245,CAMP0008,HCP0248,REP008,T008,2025-03-29,Digital Ad,Downloaded,True,True,False,4
ENG000246,CAMP0008,HCP0260,REP032,T008,2025-04-01,Digital Ad,Opened Content,True,False,False,20
ENG000247,CAMP0009,HCP0381,REP033,T009,2026-05-21,Digital Ad,Downloaded,True,True,False,25
ENG000248,CAMP0009,HCP0417,REP033,T009,2026-05-07,Email,Attended,True,False,False,66
ENG000249,CAMP0009,HCP0405,REP021,T009,2026-05-12,Webinar,Clicked Link,True,True,False,66
ENG000250,CAMP0009,HCP0069,REP033,T009,2026-04-05,Digital Ad,Attended,False,False,False,3
ENG000251,CAMP0009,HCP0489,REP009,T009,2026-04-25,Field Event,Attended,True,False,False,14
ENG000252,CAMP0009,HCP0177,REP033,T009,2026-03-01,Field Event,Opened Content,True,True,False,75
ENG000253,CAMP0009,HCP0285,REP009,T009,2026-05-03,Email,Attended,True,False,False,54
ENG000254,CAMP0009,HCP0033,REP009,T009,2026-05-13,Field Event,Registered,True,False,False,45
ENG000255,CAMP0009,HCP0069,REP033,T009,2026-04-01,Email,Attended,False,False,True,90
ENG000256,CAMP0009,HCP0489,REP009,T009,2026-04-27,Webinar,Clicked Link,True,False,False,66
ENG000257,CAMP0009,HCP0357,REP009,T009,2026-04-27,Digital Ad,Attended,False,False,False,93
ENG000258,CAMP0009,HCP0069,REP033,T009,2026-04-10,Email,Attended,True,False,False,87
ENG000259,CAMP0009,HCP0249,REP033,T009,2026-05-16,Field Event,Downloaded,False,False,False,53
ENG000260,CAMP0009,HCP0321,REP009,T009,2026-05-17,Webinar,Downloaded,True,True,True,25
ENG000261,CAMP0009,HCP0417,REP009,T009,2026-05-22,Field Event,Downloaded,True,False,True,83
ENG000262,CAMP0009,HCP0369,REP021,T009,2026-04-13,Digital Ad,Registered,True,False,False,21
ENG000263,CAMP0009,HCP0465,REP033,T009,2026-03-22,Email,Attended,True,True,False,54
ENG000264,CAMP0009,HCP0201,REP033,T009,2026-05-04,Email,Downloaded,True,False,False,79
ENG000265,CAMP0009,HCP0357,REP021,T009,2026-05-27,Digital Ad,Downloaded,True,False,False,63
ENG000266,CAMP0009,HCP0453,REP033,T009,2026-04-26,Field Event,Attended,True,True,True,87
ENG000267,CAMP0009,HCP0081,REP033,T009,2026-03-07,Email,Registered,True,False,False,24
ENG000268,CAMP0009,HCP0153,REP033,T009,2026-03-26,Webinar,Attended,True,False,False,88
ENG000269,CAMP0009,HCP0321,REP033,T009,2026-05-06,Field Event,Opened Content,False,False,True,38
ENG000270,CAMP0009,HCP0309,REP033,T009,2026-04-14,Email,Registered,True,False,False,54
