call_id,call_date,hcp_id,rep_id,territory_id,product_id,call_type,call_status,call_duration_minutes,discussion_topic,sample_dropped,next_call_planned_date,engagement_score
CALL000032,2025-01-09,HCP0002,REP002,T002,PROD002,Ad hoc,Completed,22,Dose optimization,False,2025-02-14,59
CALL000033,2025-01-15,HCP0194,REP002,T002,PROD008,Follow-up,Completed,44,Dose optimization,True,2025-01-29,66
CALL000034,2025-01-21,HCP0278,REP002,T002,PROD021,Ad hoc,Completed,24,Conference invite,True,2025-03-06,9
CALL000035,2025-01-21,HCP0254,REP002,T002,PROD010,Ad hoc,Completed,21,Conference invite,False,2025-02-16,20
CALL000036,2025-01-29,HCP0398,REP002,T002,PROD002,Follow-up,Completed,30,Conference invite,False,2025-02-20,93
CALL000037,2025-01-16,HCP0014,REP002,T002,PROD024,Ad hoc,Cancelled,31,Dose optimization,False,2025-02-01,75
CALL000038,2025-01-11,HCP0434,REP002,T002,PROD002,Planned,Completed,39,Conference invite,False,2025-02-16,65
CALL000039,2025-01-27,HCP0230,REP002,T002,PROD008,Follow-up,Completed,16,Patient affordability,True,2025-03-12,17
CALL000040,2025-01-26,HCP0194,REP002,T002,PROD024,Planned,Completed,26,Conference invite,True,2025-02-23,46
CALL000041,2025-01-28,HCP0170,REP002,T002,PROD019,Ad hoc,Completed,28,Patient affordability,False,2025-03-12,16
CALL000042,2025-01-28,HCP0362,REP002,T002,PROD003,Follow-up,Completed,44,New clinical evidence,False,2025-02-23,65
CALL000043,2025-01-13,HCP0086,REP002,T002,PROD021,Ad hoc,Completed,8,Brand reminder,True,2025-02-08,44
CALL000044,2025-01-29,HCP0314,REP002,T002,PROD024,Ad hoc,Rescheduled,14,Patient affordability,True,2025-02-17,63
CALL000045,2025-01-06,HCP0254,REP002,T002,PROD018,Planned,Completed,5,Dose optimization,False,2025-02-02,98
CALL000046,2025-01-25,HCP0122,REP002,T002,PROD022,Planned,Completed,13,Sample follow-up,False,2025-03-07,52
CALL000047,2025-01-13,HCP0326,REP002,T002,PROD010,Follow-up,Completed,17,Conference invite,False,2025-01-27,42
CALL000048,2025-01-01,HCP0398,REP002,T002,PROD002,Follow-up,Completed,20,Brand reminder,False,2025-02-03,17
CALL000049,2025-01-17,HCP0074,REP002,T002,PROD015,Planned,Completed,9,New clinical evidence,False,2025-02-18,59
CALL000050,2025-01-17,HCP0398,REP002,T002,PROD018,Follow-up,Completed,13,Patient affordability,False,2025-02-22,97
CALL000051,2025-01-31,HCP0146,REP002,T002,PROD008,Ad hoc,Rescheduled,6,Brand reminder,True,2025-02-22,28
CALL000052,2025-01-06,HCP0447,REP003,T003,PROD024,Follow-up,Completed,7,Dose optimization,False,2025-01-23,77
CALL000053,2025-01-04,HCP0039,REP003,T003,PROD019,Planned,Completed,8,Conference invite,True,2025-02-13,57
CALL000054,2025-01-18,HCP0291,REP003,T003,PROD008,Follow-up,Completed,14,Brand reminder,True,2025-02-20,54
CALL000055,2025-01-17,HCP0075,REP003,T003,PROD019,Follow-up,Completed,13,Dose optimization,True,2025-02-07,37
CALL000056,2025-01-16,HCP0087,REP003,T003,PROD001,Planned,Completed,21,Sample follow-up,True,2025-02-21,91
CALL000057,2025-01-06,HCP0315,REP003,T003,PROD013,Ad hoc,Completed,18,Conference invite,False,2025-02-10,31
CALL000058,2025-01-22,HCP0003,REP003,T003,PROD004,Planned,Completed,41,Conference invite,False,2025-02-14,12
CALL000059,2025-01-24,HCP0387,REP003,T003,PROD001,Ad hoc,Completed,19,Dose optimization,False,2025-02-23,60
CALL000060,2025-01-27,HCP0039,REP003,T003,PROD003,Planned,Completed,23,Patient affordability,False,2025-03-09,95
CALL000061,2025-01-28,HCP0087,REP003,T003,PROD001,Planned,Completed,5,Brand reminder,True,2025-03-04,46
CALL000062,2025-01-29,HCP0339,REP003,T003,PROD017,Ad hoc,Completed,26,Brand reminder,True,2025-03-09,52
CALL000063,2025-01-27,HCP0351,REP003,T003,PROD016,Ad hoc,Completed,31,Conference invite,True,2025-02-17,17
CALL000064,2025-01-04,HCP0039,REP003,T003,PROD003,Follow-up,Completed,35,Sample follow-up,False,2025-01-29,79
CALL000065,2025-01-20,HCP0291,REP003,T003,PROD016,Follow-up,Completed,13,Dose optimization,False,2025-02-10,53
CALL000066,2025-01-03,HCP0339,REP003,T003,PROD001,Ad hoc,Completed,5,Conference invite,True,2025-02-07,67
CALL000067,2025-01-23,HCP0399,REP003,T003,PROD021,Ad hoc,Completed,20,Dose optimization,False,2025-03-02,20
CALL000068,2025-01-02,HCP0423,REP003,T003,PROD023,Planned,Completed,37,Dose optimization,False,2025-01-26,10
CALL000069,2025-01-08,HCP0375,REP003,T003,PROD011,Ad hoc,Completed,8,Sample follow-up,True,2025-02-15,52
CALL000070,2025-01-15,HCP0183,REP003,T003,PROD003,Follow-up,Completed,33,New clinical evidence,False,2025-02-26,41
CALL000071,2025-01-24,HCP0087,REP003,T003,PROD025,Planned,Completed,30,Dose optimization,True,2025-02-07,12
CALL000072,2025-01-07,HCP0388,REP004,T004,PROD023,Ad hoc,Completed,26,Patient affordability,True,2025-02-04,59
CALL000073,2025-01-25,HCP0256,REP004,T004,PROD018,Ad hoc,Completed,28,Conference invite,False,2025-02-15,13
CALL000074,2025-01-11,HCP0172,REP004,T004,PROD006,Follow-up,Completed,23,Sample follow-up,False,2025-01-31,6
CALL000075,2025-01-05,HCP0124,REP004,T004,PROD011,Follow-up,Rescheduled,31,New clinical evidence,False,2025-01-31,25
CALL000076,2025-01-07,HCP0088,REP004,T004,PROD015,Planned,Completed,26,New clinical evidence,False,2025-01-23,82
CALL000077,2025-01-25,HCP0448,REP004,T004,PROD003,Ad hoc,Rescheduled,42,Sample follow-up,True,2025-03-11,1
CALL000078,2025-01-18,HCP0400,REP004,T004,PROD001,Follow-up,Rescheduled,35,Sample follow-up,True,2025-02-12,94
CALL000079,2025-01-13,HCP0100,REP004,T004,PROD008,Follow-up,Completed,25,Sample follow-up,False,2025-02-22,78
CALL000080,2025-01-13,HCP0184,REP004,T004,PROD017,Ad hoc,Cancelled,33,Brand reminder,True,2025-02-22,78
CALL000081,2025-01-27,HCP0388,REP004,T004,PROD015,Ad hoc,Completed,40,Conference invite,True,2025-02-22,27
CALL000082,2025-01-10,HCP0472,REP004,T004,PROD020,Follow-up,Completed,13,Conference invite,True,2025-02-13,91
CALL000083,2025-01-18,HCP0088,REP004,T004,PROD015,Follow-up,Completed,31,Conference invite,False,2025-02-28,2
CALL000084,2025-01-01,HCP0400,REP004,T004,PROD001,Planned,Completed,8,Brand reminder,False,2025-01-25,37
CALL000085,2025-01-27,HCP0196,REP004,T004,PROD002,Ad hoc,Completed,18,Sample follow-up,True,2025-03-04,58
CALL000086,2025-01-28,HCP0076,REP004,T004,PROD022,Follow-up,Completed,19,Conference invite,False,2025-02-26,66
CALL000087,2025-01-22,HCP0220,REP004,T004,PROD020,Ad hoc,Completed,29,Dose optimization,False,2025-02-08,2
CALL000088,2025-01-20,HCP0196,REP004,T004,PROD002,Ad hoc,Rescheduled,19,Conference invite,False,2025-02-15,100
CALL000089,2025-01-15,HCP0148,REP004,T004,PROD012,Follow-up,Completed,9,Brand reminder,True,2025-02-05,49
CALL000090,2025-01-09,HCP0028,REP004,T004,PROD012,Planned,Completed,15,Sample follow-up,False,2025-01-23,43
CALL000091,2025-01-30,HCP0352,REP004,T004,PROD018,Planned,Completed,25,Sample follow-up,True,2025-03-04,63
CALL000092,2025-01-12,HCP0436,REP004,T004,PROD024,Follow-up,Completed,25,Sample follow-up,True,2025-02-06,67
CALL000093,2025-01-14,HCP0052,REP004,T004,PROD009,Ad hoc,Completed,10,Patient affordability,True,2025-02-10,85
CALL000094,2025-01-12,HCP0256,REP004,T004,PROD010,Follow-up,Completed,38,Dose optimization,True,2025-02-02,86
CALL000095,2025-01-08,HCP0268,REP004,T004,PROD012,Follow-up,Rescheduled,44,Brand reminder,True,2025-02-11,49
CALL000096,2025-01-09,HCP0088,REP004,T004,PROD015,Ad hoc,Completed,6,Sample follow-up,False,2025-02-20,63
CALL000097,2025-01-29,HCP0028,REP004,T004,PROD012,Ad hoc,Completed,37,New clinical evidence,True,2025-02-22,99
CALL000098,2025-01-01,HCP0412,REP004,T004,PROD024,Planned,Completed,45,Brand reminder,False,2025-01-21,27
CALL000099,2025-01-29,HCP0412,REP004,T004,PROD024,Ad hoc,Cancelled,9,Conference invite,True,2025-02-13,59
CALL000100,2025-01-03,HCP0256,REP004,T004,PROD002,Planned,Completed,21,Sample follow-up,True,2025-01-31,34
CALL000101,2025-01-21,HCP0293,REP005,T005,PROD025,Ad hoc,Completed,6,Dose optimization,True,2025-02-04,83
CALL000102,2025-01-25,HCP0473,REP005,T005,PROD002,Planned,Completed,9,Patient affordability,True,2025-02-26,88
CALL000103,2025-01-03,HCP0233,REP005,T005,PROD020,Ad hoc,Completed,29,Dose optimization,True,2025-02-16,21
CALL000104,2025-01-05,HCP0413,REP005,T005,PROD008,Follow-up,Completed,23,Conference invite,True,2025-02-07,87
CALL000105,2025-01-31,HCP0497,REP005,T005,PROD012,Follow-up,Cancelled,40,Brand reminder,True,2025-02-16,1
CALL000106,2025-01-13,HCP0437,REP005,T005,PROD020,Planned,Completed,24,Brand reminder,False,2025-02-09,53
CALL000107,2025-01-05,HCP0497,REP005,T005,PROD020,Planned,Completed,44,Patient affordability,True,2025-01-26,24
CALL000108,2025-01-28,HCP0437,REP005,T005,PROD004,Follow-up,Completed,34,Conference invite,True,2025-03-01,86
CALL000109,2025-01-04,HCP0053,REP005,T005,PROD014,Follow-up,Completed,36,Patient affordability,False,2025-01-26,86
CALL000110,2025-01-04,HCP0497,REP005,T005,PROD004,Planned,Completed,17,Patient affordability,False,2025-02-15,43
CALL000111,2025-01-10,HCP0473,REP005,T005,PROD018,Planned,Completed,41,Sample follow-up,False,2025-02-13,55
CALL000112,2025-01-11,HCP0125,REP005,T005,PROD006,Planned,Completed,32,Patient affordability,False,2025-02-02,87
CALL000113,2025-01-15,HCP0257,REP005,T005,PROD010,Ad hoc,Completed,36,Sample follow-up,True,2025-02-09,83
CALL000114,2025-01-27,HCP0461,REP005,T005,PROD006,Planned,Completed,39,Brand reminder,False,2025-02-14,94
CALL000115,2025-01-28,HCP0053,REP005,T005,PROD006,Planned,Completed,42,Sample follow-up,False,2025-02-24,5
CALL000116,2025-01-18,HCP0425,REP005,T005,PROD010,Follow-up,Rescheduled,35,Conference invite,True,2025-02-24,51
CALL000117,2025-01-24,HCP0173,REP005,T005,PROD023,Planned,Rescheduled,34,Sample follow-up,True,2025-03-04,47
CALL000118,2025-01-22,HCP0389,REP005,T005,PROD002,Follow-up,Completed,15,Sample follow-up,True,2025-03-05,21
CALL000119,2025-01-31,HCP0137,REP005,T005,PROD018,Planned,Completed,35,Patient affordability,True,2025-02-28,98
CALL000120,2025-01-03,HCP0377,REP005,T005,PROD005,Planned,Completed,7,Conference invite,True,2025-02-09,50
CALL000121,2025-01-29,HCP0365,REP005,T005,PROD011,Follow-up,Completed,25,New clinical evidence,False,2025-02-28,75
CALL000122,2025-01-06,HCP0413,REP005,T005,PROD024,Ad hoc,Completed,28,Sample follow-up,True,2025-02-05,49
CALL000123,2025-01-13,HCP0173,REP005,T005,PROD023,Ad hoc,Completed,36,Dose optimization,True,2025-02-04,57
CALL000124,2025-01-03,HCP0125,REP005,T005,PROD006,Ad hoc,Completed,18,Brand reminder,True,2025-01-27,47
CALL000125,2025-01-27,HCP0461,REP005,T005,PROD022,Planned,Completed,31,Patient affordability,True,2025-03-12,87
CALL000126,2025-01-07,HCP0365,REP005,T005,PROD011,Follow-up,Completed,31,New clinical evidence,True,2025-01-23,17
CALL000127,2025-01-06,HCP0437,REP005,T005,PROD020,Follow-up,Completed,7,Sample follow-up,True,2025-01-23,22
CALL000128,2025-01-17,HCP0197,REP005,T005,PROD005,Follow-up,Cancelled,41,Conference invite,True,2025-02-18,11
CALL000129,2025-01-20,HCP0161,REP005,T005,PROD016,Ad hoc,Cancelled,15,Brand reminder,False,2025-02-12,75
CALL000130,2025-01-22,HCP0137,REP005,T005,PROD018,Planned,Completed,26,Dose optimization,True,2025-02-19,49
CALL000131,2025-01-04,HCP0293,REP005,T005,PROD009,Follow-up,Completed,37,Conference invite,False,2025-01-27,78
CALL000132,2025-01-16,HCP0077,REP005,T005,PROD005,Follow-up,Rescheduled,7,Sample follow-up,True,2025-02-04,62
CALL000133,2025-01-18,HCP0101,REP005,T005,PROD018,Follow-up,Rescheduled,32,Sample follow-up,False,2025-02-24,6
CALL000134,2025-01-26,HCP0174,REP006,T006,PROD014,Ad hoc,Completed,42,Conference invite,True,2025-03-08,18
CALL000135,2025-01-25,HCP0198,REP006,T006,PROD012,Planned,Completed,23,Sample follow-up,False,2025-02-24,25
CALL000136,2025-01-24,HCP0006,REP006,T006,PROD018,Follow-up,Completed,38,New clinical evidence,True,2025-03-03,84
CALL000137,2025-01-26,HCP0162,REP006,T006,PROD022,Ad hoc,Completed,11,Brand reminder,False,2025-02-25,34
CALL000138,2025-01-19,HCP0414,REP006,T006,PROD010,Ad hoc,Completed,30,Brand reminder,False,2025-03-04,23
CALL000139,2025-01-18,HCP0282,REP006,T006,PROD018,Ad hoc,Completed,41,Patient affordability,False,2025-02-09,85
CALL000140,2025-01-08,HCP0090,REP006,T006,PROD022,Follow-up,Completed,15,New clinical evidence,True,2025-02-16,44
CALL000141,2025-01-23,HCP0426,REP006,T006,PROD021,Planned,Completed,15,Dose optimization,True,2025-02-11,19
CALL000142,2025-01-14,HCP0366,REP006,T006,PROD024,Ad hoc,Completed,19,Patient affordability,True,2025-01-30,93
CALL000143,2025-01-20,HCP0294,REP006,T006,PROD016,Ad hoc,Completed,43,New clinical evidence,True,2025-03-06,57
CALL000144,2025-01-28,HCP0006,REP006,T006,PROD002,Follow-up,Completed,23,Brand reminder,True,2025-02-25,79
CALL000145,2025-01-02,HCP0126,REP006,T006,PROD024,Follow-up,Completed,5,Brand reminder,True,2025-02-02,100
CALL000146,2025-01-22,HCP0306,REP006,T006,PROD012,Follow-up,Completed,17,Sample follow-up,True,2025-02-09,12
CALL000147,2025-01-24,HCP0426,REP006,T006,PROD013,Follow-up,Rescheduled,27,Patient affordability,False,2025-02-21,78
CALL000148,2025-01-30,HCP0150,REP006,T006,PROD012,Planned,Completed,21,Brand reminder,False,2025-02-19,72
CALL000149,2025-01-10,HCP0054,REP006,T006,PROD018,Planned,Completed,37,Patient affordability,False,2025-02-21,49
CALL000150,2025-01-25,HCP0438,REP006,T006,PROD015,Ad hoc,Completed,34,Conference invite,False,2025-02-09,62
CALL000151,2025-01-03,HCP0090,REP006,T006,PROD014,Planned,Completed,19,Patient affordability,False,2025-02-08,67
CALL000152,2025-01-23,HCP0414,REP006,T006,PROD002,Planned,Rescheduled,23,New clinical evidence,False,2025-02-27,10
CALL000153,2025-01-16,HCP0426,REP006,T006,PROD005,Planned,Completed,41,Patient affordability,True,2025-02-11,64
CALL000154,2025-01-24,HCP0150,REP006,T006,PROD004,Ad hoc,Completed,18,Brand reminder,True,2025-02-22,80
CALL000155,2025-01-25,HCP0270,REP006,T006,PROD005,Planned,Completed,36,Sample follow-up,True,2025-02-10,62
CALL000156,2025-01-11,HCP0282,REP006,T006,PROD018,Follow-up,Completed,22,Dose optimization,True,2025-02-11,51
CALL000157,2025-01-05,HCP0174,REP006,T006,PROD022,Ad hoc,Completed,35,Sample follow-up,True,2025-02-10,51
CALL000158,2025-01-04,HCP0138,REP006,T006,PROD015,Ad hoc,Completed,25,Conference invite,True,2025-01-18,87
CALL000159,2025-01-19,HCP0162,REP006,T006,PROD014,Ad hoc,Completed,44,Patient affordability,True,2025-02-18,31
CALL000160,2025-01-31,HCP0210,REP006,T006,PROD014,Ad hoc,Completed,16,Dose optimization,False,2025-02-27,54
CALL000161,2025-01-28,HCP0282,REP006,T006,PROD010,Ad hoc,Completed,16,Sample follow-up,True,2025-02-25,13
CALL000162,2025-01-18,HCP0210,REP006,T006,PROD006,Ad hoc,Completed,17,Brand reminder,True,2025-03-03,2
CALL000163,2025-01-16,HCP0138,REP006,T006,PROD015,Follow-up,Completed,38,Sample follow-up,False,2025-03-02,39
CALL000164,2025-01-28,HCP0198,REP006,T006,PROD020,Ad hoc,Completed,11,Conference invite,True,2025-02-14,28
CALL000165,2025-01-27,HCP0198,REP006,T006,PROD012,Ad hoc,Completed,26,Patient affordability,False,2025-03-05,72
CALL000166,2025-01-12,HCP0426,REP006,T006,PROD013,Planned,Completed,27,Conference invite,True,2025-02-06,100
CALL000167,2025-01-22,HCP0271,REP007,T007,PROD010,Follow-up,Completed,33,New clinical evidence,False,2025-02-23,60
CALL000168,2025-01-28,HCP0487,REP007,T007,PROD009,Ad hoc,Completed,31,Conference invite,False,2025-02-15,11
CALL000169,2025-01-08,HCP0127,REP007,T007,PROD016,Follow-up,Completed,23,Conference invite,False,2025-02-16,35
CALL000170,2025-01-24,HCP0343,REP007,T007,PROD012,Ad hoc,Completed,31,Brand reminder,True,2025-02-08,17
CALL000171,2025-01-09,HCP0187,REP007,T007,PROD018,Follow-up,Cancelled,10,Brand reminder,True,2025-02-17,14
CALL000172,2025-01-30,HCP0079,REP007,T007,PROD002,Follow-up,Rescheduled,8,New clinical evidence,False,2025-02-18,14
CALL000173,2025-01-05,HCP0199,REP007,T007,PROD018,Ad hoc,Completed,24,Brand reminder,True,2025-02-06,57
CALL000174,2025-01-05,HCP0487,REP007,T007,PROD009,Planned,Completed,6,New clinical evidence,False,2025-02-08,61
CALL000175,2025-01-30,HCP0355,REP007,T007,PROD018,Ad hoc,Completed,13,Conference invite,True,2025-03-14,81
CALL000176,2025-01-17,HCP0487,REP007,T007,PROD025,Follow-up,Completed,24,Patient affordability,False,2025-02-14,12
CALL000177,2025-01-12,HCP0343,REP007,T007,PROD012,Planned,Completed,24,New clinical evidence,True,2025-02-03,45
CALL000178,2025-01-18,HCP0223,REP007,T007,PROD012,Ad hoc,Completed,35,Patient affordability,True,2025-02-28,38
CALL000179,2025-01-26,HCP0463,REP007,T007,PROD004,Ad hoc,Completed,17,Dose optimization,False,2025-03-06,32
CALL000180,2025-01-24,HCP0127,REP007,T007,PROD024,Ad hoc,Completed,19,Patient affordability,True,2025-03-06,81
CALL000181,2025-01-25,HCP0187,REP007,T007,PROD018,Follow-up,Completed,22,Patient affordability,False,2025-03-06,25
CALL000182,2025-01-05,HCP0055,REP007,T007,PROD008,Follow-up,Completed,34,Sample follow-up,False,2025-02-05,90
CALL000183,2025-01-07,HCP0475,REP007,T007,PROD010,Planned,Completed,8,Sample follow-up,True,2025-02-01,14
CALL000184,2025-01-05,HCP0223,REP007,T007,PROD012,Follow-up,Completed,5,Brand reminder,True,2025-01-28,2
CALL000185,2025-01-11,HCP0379,REP007,T007,PROD003,Ad hoc,Completed,28,Dose optimization,True,2025-02-15,11
CALL000186,2025-01-09,HCP0115,REP007,T007,PROD003,Planned,Completed,39,Dose optimization,True,2025-02-04,33
CALL000187,2025-01-04,HCP0295,REP007,T007,PROD006,Follow-up,Cancelled,20,Dose optimization,False,2025-02-02,95
CALL000188,2025-01-15,HCP0031,REP007,T007,PROD006,Planned,Completed,38,Conference invite,True,2025-02-28,50
CALL000189,2025-01-06,HCP0235,REP007,T007,PROD016,Planned,Completed,40,Sample follow-up,True,2025-02-05,62
CALL000190,2025-01-07,HCP0487,REP007,T007,PROD017,Planned,Completed,18,New clinical evidence,True,2025-02-17,42
CALL000191,2025-01-26,HCP0007,REP007,T007,PROD003,Planned,Completed,30,Brand reminder,True,2025-02-11,75
CALL000192,2025-01-12,HCP0367,REP007,T007,PROD009,Planned,Completed,15,Dose optimization,True,2025-02-16,98
CALL000193,2025-01-02,HCP0487,REP007,T007,PROD001,Planned,Completed,39,New clinical evidence,True,2025-02-16,30
CALL000194,2025-01-26,HCP0247,REP007,T007,PROD017,Follow-up,Rescheduled,17,New clinical evidence,False,2025-03-03,93
CALL000195,2025-01-29,HCP0103,REP007,T007,PROD013,Follow-up,Completed,33,Sample follow-up,False,2025-03-15,25
CALL000196,2025-01-11,HCP0416,REP008,T008,PROD012,Ad hoc,Completed,43,Sample follow-up,True,2025-01-29,68
CALL000197,2025-01-10,HCP0116,REP008,T008,PROD015,Follow-up,Completed,28,Dose optimization,True,2025-02-17,94
CALL000198,2025-01-20,HCP0140,REP008,T008,PROD006,Follow-up,Rescheduled,20,Patient affordability,True,2025-02-27,25
CALL000199,2025-01-16,HCP0404,REP008,T008,PROD018,Planned,Completed,44,Patient affordability,False,2025-02-25,83
CALL000200,2025-01-04,HCP0248,REP008,T008,PROD008,Planned,Completed,7,Brand reminder,True,2025-01-20,26
CALL000201,2025-01-07,HCP0080,REP008,T008,PROD016,Follow-up,Completed,29,Conference invite,False,2025-02-06,7
CALL000202,2025-01-20,HCP0284,REP008,T008,PROD007,Planned,Completed,18,Conference invite,False,2025-02-08,60
CALL000203,2025-01-12,HCP0488,REP008,T008,PROD008,Ad hoc,Completed,28,Conference invite,True,2025-02-12,68
CALL000204,2025-01-03,HCP0032,REP008,T008,PROD021,Planned,Rescheduled,18,Sample follow-up,True,2025-01-23,93
CALL000205,2025-01-13,HCP0176,REP008,T008,PROD018,Follow-up,Completed,20,Sample follow-up,True,2025-02-22,96
CALL000206,2025-01-19,HCP0080,REP008,T008,PROD024,Ad hoc,Completed,32,New clinical evidence,True,2025-02-13,71
CALL000207,2025-01-11,HCP0308,REP008,T008,PROD024,Follow-up,Completed,43,Dose optimization,False,2025-02-14,71
CALL000208,2025-01-14,HCP0248,REP008,T008,PROD016,Ad hoc,Completed,25,Sample follow-up,True,2025-02-10,49
CALL000209,2025-01-12,HCP0428,REP008,T008,PROD017,Ad hoc,Cancelled,30,New clinical evidence,True,2025-02-13,77
CALL000210,2025-01-05,HCP0020,REP008,T008,PROD023,Ad hoc,Cancelled,5,Patient affordability,True,2025-02-01,41
CALL000211,2025-01-27,HCP0020,REP008,T008,PROD023,Follow-up,Completed,37,Sample follow-up,True,2025-02-16,5
CALL000212,2025-01-05,HCP0356,REP008,T008,PROD010,Ad hoc,Completed,42,Brand reminder,True,2025-02-04,39
CALL000213,2025-01-13,HCP0068,REP008,T008,PROD021,Planned,Completed,9,Conference invite,False,2025-02-26,23
CALL000214,2025-01-20,HCP0380,REP008,T008,PROD001,Planned,Completed,41,Dose optimization,True,2025-02-06,99
CALL000215,2025-01-29,HCP0260,REP008,T008,PROD014,Ad hoc,Completed,12,Brand reminder,True,2025-03-08,7
CALL000216,2025-01-02,HCP0236,REP008,T008,PROD020,Follow-up,Completed,14,Patient affordability,True,2025-01-25,7
CALL000217,2025-01-25,HCP0308,REP008,T008,PROD016,Follow-up,Completed,10,Brand reminder,False,2025-02-26,51
CALL000218,2025-01-11,HCP0116,REP008,T008,PROD007,Follow-up,Completed,8,Sample follow-up,False,2025-02-10,11
CALL000219,2025-01-14,HCP0308,REP008,T008,PROD024,Planned,Completed,13,Dose optimization,True,2025-02-28,51
CALL000220,2025-01-07,HCP0500,REP008,T008,PROD018,Follow-up,Completed,38,Brand reminder,True,2025-01-25,35
CALL000221,2025-01-30,HCP0249,REP009,T009,PROD021,Planned,Completed,31,Dose optimization,False,2025-03-07,25
CALL000222,2025-01-20,HCP0249,REP009,T009,PROD013,Ad hoc,Completed,15,Patient affordability,False,2025-02-12,57
CALL000223,2025-01-07,HCP0033,REP009,T009,PROD007,Planned,Completed,10,New clinical evidence,True,2025-02-05,80
CALL000224,2025-01-01,HCP0117,REP009,T009,PROD014,Planned,Completed,24,Dose optimization,False,2025-01-16,43
CALL000225,2025-01-07,HCP0165,REP009,T009,PROD009,Ad hoc,Completed,40,Dose optimization,True,2025-01-22,49
CALL000226,2025-01-17,HCP0453,REP009,T009,PROD024,Planned,Completed,8,Patient affordability,True,2025-02-17,7
