sales_id,sale_date,sale_month,hcp_id,territory_id,rep_id,product_id,units_sold,gross_sales,discount_amount,net_sales,sales_channel
SALE000044,2025-01-21,2025-01,HCP0050,T002,REP002,PROD008,17,71675.4,10474.41,61200.99,Distributor
SALE000045,2025-01-05,2025-01,HCP0098,T002,REP002,PROD016,64,13822.72,316.22,13506.5,Distributor
SALE000046,2025-01-26,2025-01,HCP0086,T002,REP002,PROD005,43,24019.37,2928.25,21091.12,Distributor
SALE000047,2025-01-01,2025-01,HCP0134,T002,REP002,PROD014,36,56627.64,6139.61,50488.03,Hospital
SALE000048,2025-01-15,2025-01,HCP0362,T002,REP002,PROD019,142,204725.66,6930.68,197794.98,Retail
SALE000049,2025-01-22,2025-01,HCP0230,T002,REP002,PROD008,24,101188.8,4935.3,96253.5,Retail
SALE000050,2025-01-20,2025-01,HCP0471,T003,REP003,PROD022,75,227627.25,22758.41,204868.84,Distributor
SALE000051,2025-01-05,2025-01,HCP0111,T003,REP003,PROD016,76,16414.48,1982.91,14431.57,Distributor
SALE000052,2025-01-27,2025-01,HCP0015,T003,REP003,PROD009,32,36994.88,877.56,36117.32,Hospital
SALE000053,2025-01-18,2025-01,HCP0339,T003,REP003,PROD001,20,32537.4,3748.28,28789.12,Distributor
SALE000054,2025-01-30,2025-01,HCP0327,T003,REP003,PROD008,28,118053.6,16654.51,101399.09,Retail
SALE000055,2025-01-20,2025-01,HCP0303,T003,REP003,PROD005,60,33515.4,2555.51,30959.89,Distributor
SALE000056,2025-01-20,2025-01,HCP0411,T003,REP003,PROD008,14,59026.8,9164.83,49861.97,Hospital
SALE000057,2025-01-13,2025-01,HCP0363,T003,REP003,PROD025,58,15186.72,1295.96,13890.76,Retail
SALE000058,2025-01-20,2025-01,HCP0075,T003,REP003,PROD011,37,158132.45,4451.94,153680.51,Retail
SALE000059,2025-01-09,2025-01,HCP0495,T003,REP003,PROD017,39,149276.01,20269.79,129006.22,Distributor
SALE000060,2025-01-06,2025-01,HCP0483,T003,REP003,PROD001,6,9761.22,329.95,9431.27,Hospital
SALE000061,2025-01-25,2025-01,HCP0399,T003,REP003,PROD005,47,26253.73,3176.27,23077.46,Retail
SALE000062,2025-01-22,2025-01,HCP0063,T003,REP003,PROD010,21,5114.34,202.41,4911.93,Distributor
SALE000063,2025-01-29,2025-01,HCP0387,T003,REP003,PROD001,34,55313.58,3022.19,52291.39,Hospital
SALE000064,2025-01-03,2025-01,HCP0459,T003,REP003,PROD014,142,223364.58,7115.47,216249.11,Hospital
SALE000065,2025-01-31,2025-01,HCP0495,T003,REP003,PROD009,73,84394.57,12245.72,72148.85,Retail
SALE000066,2025-01-02,2025-01,HCP0303,T003,REP003,PROD021,44,66426.8,4612.18,61814.62,Retail
SALE000067,2025-01-26,2025-01,HCP0471,T003,REP003,PROD022,36,109261.08,8854.17,100406.91,Hospital
SALE000068,2025-01-28,2025-01,HCP0063,T003,REP003,PROD002,15,19567.65,1905.46,17662.19,Hospital
SALE000069,2025-01-12,2025-01,HCP0483,T003,REP003,PROD025,54,14139.36,2113.94,12025.42,Hospital
SALE000070,2025-01-07,2025-01,HCP0255,T003,REP003,PROD011,85,363277.25,39119.5,324157.75,Retail
SALE000071,2025-01-10,2025-01,HCP0147,T003,REP003,PROD024,9,1150.83,142.69,1008.14,Distributor
SALE000072,2025-01-25,2025-01,HCP0471,T003,REP003,PROD022,115,349028.45,41390.43,307638.02,Distributor
SALE000073,2025-01-26,2025-01,HCP0123,T003,REP003,PROD003,28,113216.6,5577.7,107638.9,Retail
SALE000074,2025-01-08,2025-01,HCP0291,T003,REP003,PROD024,126,16111.62,353.8,15757.82,Distributor
SALE000075,2025-01-16,2025-01,HCP0135,T003,REP003,PROD012,6,8841.9,533.26,8308.64,Retail
SALE000076,2025-01-23,2025-01,HCP0027,T003,REP003,PROD001,122,198478.14,7190.22,191287.92,Distributor
SALE000077,2025-01-12,2025-01,HCP0183,T003,REP003,PROD003,7,28304.15,803.79,27500.36,Hospital
SALE000078,2025-01-17,2025-01,HCP0447,T003,REP003,PROD008,48,202377.6,13600.09,188777.51,Retail
SALE000079,2025-01-31,2025-01,HCP0159,T003,REP003,PROD018,111,355852.68,33847.25,322005.43,Retail
SALE000080,2025-01-10,2025-01,HCP0435,T003,REP003,PROD022,28,84980.84,7643.33,77337.51,Hospital
SALE000081,2025-01-06,2025-01,HCP0352,T004,REP004,PROD018,75,240441.0,21162.71,219278.29,Distributor
SALE000082,2025-01-01,2025-01,HCP0244,T004,REP004,PROD003,9,36391.05,3548.14,32842.91,Hospital
SALE000083,2025-01-12,2025-01,HCP0076,T004,REP004,PROD014,61,95952.39,10522.92,85429.47,Retail
SALE000084,2025-01-27,2025-01,HCP0220,T004,REP004,PROD020,45,192387.6,22217.07,170170.53,Hospital
SALE000085,2025-01-11,2025-01,HCP0268,T004,REP004,PROD004,21,51217.11,3608.6,47608.51,Distributor
SALE000086,2025-01-06,2025-01,HCP0400,T004,REP004,PROD009,113,130638.17,6888.81,123749.36,Retail
SALE000087,2025-01-17,2025-01,HCP0220,T004,REP004,PROD020,86,367674.08,28862.23,338811.85,Distributor
SALE000088,2025-01-27,2025-01,HCP0016,T004,REP004,PROD008,82,345728.4,47664.78,298063.62,Hospital
SALE000089,2025-01-18,2025-01,HCP0280,T004,REP004,PROD008,49,206593.8,4813.43,201780.37,Retail
SALE000090,2025-01-31,2025-01,HCP0316,T004,REP004,PROD008,56,236107.2,33887.69,202219.51,Retail
SALE000091,2025-01-09,2025-01,HCP0424,T004,REP004,PROD023,24,80037.6,3839.94,76197.66,Hospital
SALE000092,2025-01-06,2025-01,HCP0052,T004,REP004,PROD025,82,21470.88,3341.24,18129.64,Retail
SALE000093,2025-01-07,2025-01,HCP0268,T004,REP004,PROD020,60,256516.8,21674.17,234842.63,Distributor
SALE000094,2025-01-01,2025-01,HCP0076,T004,REP004,PROD014,24,37751.76,5531.04,32220.72,Retail
SALE000095,2025-01-04,2025-01,HCP0484,T004,REP004,PROD013,46,52388.94,7204.48,45184.46,Hospital
SALE000096,2025-01-06,2025-01,HCP0112,T004,REP004,PROD012,17,25052.05,1689.07,23362.98,Distributor
SALE000097,2025-01-18,2025-01,HCP0028,T004,REP004,PROD020,120,513033.6,42492.95,470540.65,Distributor
SALE000098,2025-01-18,2025-01,HCP0364,T004,REP004,PROD018,73,234029.24,8599.09,225430.15,Retail
SALE000099,2025-01-10,2025-01,HCP0401,T005,REP005,PROD004,19,46339.29,4251.0,42088.29,Retail
SALE000100,2025-01-17,2025-01,HCP0077,T005,REP005,PROD021,46,69446.2,10965.66,58480.54,Retail
SALE000101,2025-01-12,2025-01,HCP0233,T005,REP005,PROD012,15,22104.75,3446.15,18658.6,Retail
SALE000102,2025-01-08,2025-01,HCP0029,T005,REP005,PROD007,70,184907.1,28278.5,156628.6,Hospital
SALE000103,2025-01-30,2025-01,HCP0353,T005,REP005,PROD016,43,9287.14,1466.08,7821.06,Distributor
SALE000104,2025-01-12,2025-01,HCP0257,T005,REP005,PROD018,18,57705.84,5978.96,51726.88,Hospital
SALE000105,2025-01-04,2025-01,HCP0413,T005,REP005,PROD008,44,185512.8,5743.92,179768.88,Hospital
SALE000106,2025-01-29,2025-01,HCP0473,T005,REP005,PROD002,34,44353.34,4640.55,39712.79,Distributor
SALE000107,2025-01-26,2025-01,HCP0089,T005,REP005,PROD005,50,27929.5,864.68,27064.82,Hospital
SALE000108,2025-01-10,2025-01,HCP0305,T005,REP005,PROD005,97,54183.23,6912.96,47270.27,Retail
SALE000109,2025-01-06,2025-01,HCP0005,T005,REP005,PROD013,30,34166.7,3429.28,30737.42,Retail
SALE000110,2025-01-08,2025-01,HCP0401,T005,REP005,PROD012,126,185679.9,22237.35,163442.55,Hospital
SALE000111,2025-01-09,2025-01,HCP0113,T005,REP005,PROD010,24,5844.96,731.71,5113.25,Hospital
SALE000112,2025-01-26,2025-01,HCP0221,T005,REP005,PROD023,73,243447.7,28110.83,215336.87,Hospital
SALE000113,2025-01-06,2025-01,HCP0257,T005,REP005,PROD002,84,109578.84,2750.27,106828.57,Retail
SALE000114,2025-01-30,2025-01,HCP0365,T005,REP005,PROD011,63,269252.55,23883.24,245369.31,Retail
SALE000115,2025-01-07,2025-01,HCP0401,T005,REP005,PROD004,36,87800.76,11542.21,76258.55,Distributor
SALE000116,2025-01-07,2025-01,HCP0113,T005,REP005,PROD010,8,1948.32,179.59,1768.73,Hospital
SALE000117,2025-01-25,2025-01,HCP0005,T005,REP005,PROD013,68,77444.52,2613.78,74830.74,Distributor
SALE000118,2025-01-14,2025-01,HCP0461,T005,REP005,PROD006,52,192157.16,27655.02,164502.14,Distributor
SALE000119,2025-01-31,2025-01,HCP0473,T005,REP005,PROD018,135,432793.8,55595.44,377198.36,Hospital
SALE000120,2025-01-03,2025-01,HCP0221,T005,REP005,PROD007,30,79245.9,11715.3,67530.6,Distributor
SALE000121,2025-01-03,2025-01,HCP0089,T005,REP005,PROD021,40,60388.0,6229.39,54158.61,Hospital
SALE000122,2025-01-05,2025-01,HCP0473,T005,REP005,PROD010,37,9010.98,1138.71,7872.27,Hospital
SALE000123,2025-01-27,2025-01,HCP0209,T005,REP005,PROD017,95,363621.05,7417.09,356203.96,Distributor
SALE000124,2025-01-21,2025-01,HCP0089,T005,REP005,PROD021,40,60388.0,6327.05,54060.95,Distributor
SALE000125,2025-01-24,2025-01,HCP0498,T006,REP006,PROD018,26,83352.88,5384.06,77968.82,Retail
SALE000126,2025-01-27,2025-01,HCP0270,T006,REP006,PROD013,36,41000.04,5352.84,35647.2,Hospital
SALE000127,2025-01-10,2025-01,HCP0006,T006,REP006,PROD002,90,117405.9,5441.53,111964.37,Retail
SALE000128,2025-01-31,2025-01,HCP0330,T006,REP006,PROD019,46,66319.58,5597.16,60722.42,Hospital
SALE000129,2025-01-11,2025-01,HCP0366,T006,REP006,PROD024,73,9334.51,495.5,8839.01,Distributor
SALE000130,2025-01-04,2025-01,HCP0366,T006,REP006,PROD008,10,42162.0,2793.01,39368.99,Distributor
SALE000131,2025-01-08,2025-01,HCP0162,T006,REP006,PROD006,29,107164.57,14207.07,92957.5,Retail
SALE000132,2025-01-19,2025-01,HCP0390,T006,REP006,PROD016,20,4319.6,526.32,3793.28,Hospital
SALE000133,2025-01-21,2025-01,HCP0198,T006,REP006,PROD004,84,204868.44,30789.06,174079.38,Distributor
SALE000134,2025-01-15,2025-01,HCP0426,T006,REP006,PROD013,63,71750.07,3841.43,67908.64,Hospital
SALE000135,2025-01-24,2025-01,HCP0006,T006,REP006,PROD002,55,71748.05,4501.79,67246.26,Distributor
SALE000136,2025-01-18,2025-01,HCP0066,T006,REP006,PROD008,52,219242.4,30101.87,189140.53,Hospital
SALE000137,2025-01-03,2025-01,HCP0006,T006,REP006,PROD010,90,21918.6,1934.02,19984.58,Distributor
SALE000138,2025-01-06,2025-01,HCP0366,T006,REP006,PROD016,69,14902.62,1218.66,13683.96,Hospital
SALE000139,2025-01-18,2025-01,HCP0390,T006,REP006,PROD008,60,252972.0,31385.01,221586.99,Retail
SALE000140,2025-01-21,2025-01,HCP0042,T006,REP006,PROD005,46,25695.14,3022.75,22672.39,Hospital
SALE000141,2025-01-29,2025-01,HCP0114,T006,REP006,PROD003,46,185998.7,7826.5,178172.2,Retail
SALE000142,2025-01-05,2025-01,HCP0126,T006,REP006,PROD008,41,172864.2,20234.94,152629.26,Distributor
SALE000143,2025-01-23,2025-01,HCP0246,T006,REP006,PROD007,50,132076.5,14952.35,117124.15,Hospital
SALE000144,2025-01-06,2025-01,HCP0126,T006,REP006,PROD024,60,7672.2,777.99,6894.21,Retail
SALE000145,2025-01-27,2025-01,HCP0018,T006,REP006,PROD012,19,27999.35,2747.63,25251.72,Distributor
SALE000146,2025-01-14,2025-01,HCP0187,T007,REP007,PROD018,44,141058.72,7250.31,133808.41,Distributor
SALE000147,2025-01-15,2025-01,HCP0235,T007,REP007,PROD024,30,3836.1,256.57,3579.53,Distributor
SALE000148,2025-01-06,2025-01,HCP0247,T007,REP007,PROD009,47,54336.23,7013.2,47323.03,Retail
SALE000149,2025-01-02,2025-01,HCP0151,T007,REP007,PROD001,55,89477.85,9081.72,80396.13,Retail
SALE000150,2025-01-04,2025-01,HCP0451,T007,REP007,PROD017,49,187551.91,22439.27,165112.64,Distributor
SALE000151,2025-01-11,2025-01,HCP0127,T007,REP007,PROD016,56,12094.88,1628.16,10466.72,Retail
SALE000152,2025-01-21,2025-01,HCP0451,T007,REP007,PROD009,85,98267.65,6738.76,91528.89,Distributor
SALE000153,2025-01-26,2025-01,HCP0451,T007,REP007,PROD025,22,5760.48,300.08,5460.4,Distributor
SALE000154,2025-01-17,2025-01,HCP0187,T007,REP007,PROD002,24,31308.24,4444.07,26864.17,Retail
SALE000155,2025-01-31,2025-01,HCP0139,T007,REP007,PROD006,41,151508.53,19840.86,131667.67,Hospital
SALE000156,2025-01-25,2025-01,HCP0115,T007,REP007,PROD011,40,170954.0,18865.53,152088.47,Distributor
SALE000157,2025-01-03,2025-01,HCP0295,T007,REP007,PROD006,9,33257.97,4796.82,28461.15,Distributor
SALE000158,2025-01-24,2025-01,HCP0127,T007,REP007,PROD016,14,3023.72,84.52,2939.2,Hospital
SALE000159,2025-01-17,2025-01,HCP0307,T007,REP007,PROD015,40,130407.6,20262.51,110145.09,Retail
SALE000160,2025-01-08,2025-01,HCP0139,T007,REP007,PROD022,36,109261.08,16624.67,92636.41,Retail
SALE000161,2025-01-25,2025-01,HCP0271,T007,REP007,PROD010,118,28737.72,4227.64,24510.08,Retail
SALE000162,2025-01-27,2025-01,HCP0463,T007,REP007,PROD004,14,34144.74,2319.18,31825.56,Hospital
SALE000163,2025-01-31,2025-01,HCP0283,T007,REP007,PROD015,54,176050.26,6621.39,169428.87,Hospital
SALE000164,2025-01-19,2025-01,HCP0295,T007,REP007,PROD014,84,132131.16,10005.35,122125.81,Hospital
SALE000165,2025-01-14,2025-01,HCP0499,T007,REP007,PROD021,100,150970.0,19057.18,131912.82,Distributor
SALE000166,2025-01-04,2025-01,HCP0451,T007,REP007,PROD009,86,99423.74,10848.02,88575.72,Hospital
SALE000167,2025-01-07,2025-01,HCP0247,T007,REP007,PROD001,12,19522.44,1565.13,17957.31,Distributor
SALE000168,2025-01-23,2025-01,HCP0115,T007,REP007,PROD019,72,103804.56,13895.2,89909.36,Hospital
SALE000169,2025-01-20,2025-01,HCP0319,T007,REP007,PROD020,45,192387.6,5589.86,186797.74,Hospital
SALE000170,2025-01-28,2025-01,HCP0271,T007,REP007,PROD018,106,339823.28,15582.58,324240.7,Distributor
SALE000171,2025-01-29,2025-01,HCP0320,T008,REP008,PROD023,29,96712.1,4879.65,91832.45,Distributor
SALE000172,2025-01-03,2025-01,HCP0092,T008,REP008,PROD005,10,5585.9,504.22,5081.68,Hospital
SALE000173,2025-01-12,2025-01,HCP0248,T008,REP008,PROD016,142,30669.16,4591.5,26077.66,Hospital
SALE000174,2025-01-07,2025-01,HCP0248,T008,REP008,PROD016,23,4967.54,643.75,4323.79,Distributor
SALE000175,2025-01-26,2025-01,HCP0080,T008,REP008,PROD016,43,9287.14,1015.6,8271.54,Retail
SALE000176,2025-01-08,2025-01,HCP0032,T008,REP008,PROD021,64,96620.8,9736.52,86884.28,Retail
SALE000177,2025-01-19,2025-01,HCP0260,T008,REP008,PROD006,102,376923.66,26180.25,350743.41,Retail
SALE000178,2025-01-04,2025-01,HCP0044,T008,REP008,PROD012,72,106102.8,5673.63,100429.17,Retail
SALE000179,2025-01-05,2025-01,HCP0152,T008,REP008,PROD023,53,176749.7,10986.92,165762.78,Hospital
SALE000180,2025-01-03,2025-01,HCP0068,T008,REP008,PROD013,34,38722.26,4626.84,34095.42,Distributor
SALE000181,2025-01-04,2025-01,HCP0236,T008,REP008,PROD012,12,17683.8,914.37,16769.43,Retail
SALE000182,2025-01-10,2025-01,HCP0428,T008,REP008,PROD009,46,53180.14,8206.92,44973.22,Retail
SALE000183,2025-01-17,2025-01,HCP0224,T008,REP008,PROD008,66,278269.2,37059.8,241209.4,Hospital
SALE000184,2025-01-15,2025-01,HCP0080,T008,REP008,PROD008,46,193945.2,17081.65,176863.55,Distributor
SALE000185,2025-01-26,2025-01,HCP0296,T008,REP008,PROD025,70,18328.8,2880.48,15448.32,Hospital
SALE000186,2025-01-30,2025-01,HCP0212,T008,REP008,PROD018,75,240441.0,21045.05,219395.95,Retail
SALE000187,2025-01-27,2025-01,HCP0140,T008,REP008,PROD006,28,103469.24,13584.14,89885.1,Distributor
SALE000188,2025-01-20,2025-01,HCP0392,T008,REP008,PROD008,7,29513.4,1273.92,28239.48,Hospital
SALE000189,2025-01-07,2025-01,HCP0164,T008,REP008,PROD019,39,56227.47,7519.12,48708.35,Hospital
SALE000190,2025-01-23,2025-01,HCP0500,T008,REP008,PROD002,62,80879.62,10651.51,70228.11,Distributor
SALE000191,2025-01-12,2025-01,HCP0368,T008,REP008,PROD021,124,187202.8,25151.53,162051.27,Retail
SALE000192,2025-01-20,2025-01,HCP0404,T008,REP008,PROD002,96,125232.96,11054.08,114178.88,Distributor
SALE000193,2025-01-17,2025-01,HCP0044,T008,REP008,PROD012,56,82524.4,5091.36,77433.04,Hospital
SALE000194,2025-01-04,2025-01,HCP0428,T008,REP008,PROD001,75,122015.25,9745.46,112269.79,Distributor
SALE000195,2025-01-02,2025-01,HCP0500,T008,REP008,PROD002,40,52180.4,6195.43,45984.97,Hospital
SALE000196,2025-01-21,2025-01,HCP0116,T008,REP008,PROD015,140,456426.6,15935.81,440490.79,Retail
SALE000197,2025-01-06,2025-01,HCP0453,T009,REP009,PROD024,124,15855.88,1811.03,14044.85,Distributor
SALE000198,2025-01-10,2025-01,HCP0045,T009,REP009,PROD012,36,53051.4,2152.47,50898.93,Hospital
SALE000199,2025-01-25,2025-01,HCP0069,T009,REP009,PROD008,62,261404.4,16745.96,244658.44,Retail
SALE000200,2025-01-20,2025-01,HCP0453,T009,REP009,PROD008,48,202377.6,24619.5,177758.1,Retail
SALE000201,2025-01-04,2025-01,HCP0177,T009,REP009,PROD002,57,74357.07,8619.44,65737.63,Retail
SALE000202,2025-01-23,2025-01,HCP0477,T009,REP009,PROD016,47,10151.06,443.53,9707.53,Hospital
SALE000203,2025-01-25,2025-01,HCP0417,T009,REP009,PROD005,23,12847.57,567.88,12279.69,Distributor
SALE000204,2025-01-19,2025-01,HCP0465,T009,REP009,PROD014,88,138423.12,17005.03,121418.09,Retail
SALE000205,2025-01-19,2025-01,HCP0189,T009,REP009,PROD002,19,24785.69,560.83,24224.86,Hospital
SALE000206,2025-01-28,2025-01,HCP0489,T009,REP009,PROD001,124,201731.88,5628.08,196103.8,Distributor
SALE000207,2025-01-13,2025-01,HCP0441,T009,REP009,PROD016,115,24837.7,2713.01,22124.69,Hospital
SALE000208,2025-01-05,2025-01,HCP0357,T009,REP009,PROD013,94,107055.66,11725.8,95329.86,Distributor
SALE000209,2025-01-19,2025-01,HCP0297,T009,REP009,PROD020,62,265067.36,22323.79,242743.57,Distributor
SALE000210,2025-01-25,2025-01,HCP0489,T009,REP009,PROD009,131,151447.79,3413.62,148034.17,Retail
SALE000211,2025-01-30,2025-01,HCP0189,T009,REP009,PROD018,32,102588.16,4266.68,98321.48,Hospital
SALE000212,2025-01-28,2025-01,HCP0441,T009,REP009,PROD008,104,438484.8,18532.54,419952.26,Distributor
SALE000213,2025-01-16,2025-01,HCP0405,T009,REP009,PROD004,40,97556.4,12453.96,85102.44,Distributor
SALE000214,2025-01-30,2025-01,HCP0333,T009,REP009,PROD018,24,76941.12,5333.43,71607.69,Retail
SALE000215,2025-01-23,2025-01,HCP0081,T009,REP009,PROD006,43,158899.19,10882.19,148017.0,Distributor
SALE000216,2025-01-19,2025-01,HCP0333,T009,REP009,PROD002,45,58702.95,4625.66,54077.29,Hospital
SALE000217,2025-01-29,2025-01,HCP0369,T009,REP009,PROD003,18,72782.1,9293.56,63488.54,Distributor
SALE000218,2025-01-22,2025-01,HCP0489,T009,REP009,PROD001,124,201731.88,8814.52,192917.36,Distributor
SALE000219,2025-01-24,2025-01,HCP0333,T009,REP009,PROD002,7,9131.57,979.88,8151.69,Distributor
SALE000220,2025-01-17,2025-01,HCP0417,T009,REP009,PROD013,12,13666.68,1705.8,11960.88,Retail
SALE000221,2025-01-22,2025-01,HCP0045,T009,REP009,PROD020,48,205213.44,20829.45,184383.99,Hospital
SALE000222,2025-01-20,2025-01,HCP0225,T009,REP009,PROD014,24,37751.76,876.99,36874.77,Distributor
SALE000223,2025-01-29,2025-01,HCP0285,T009,REP009,PROD014,46,72357.54,4071.96,68285.58,Hospital
SALE000224,2025-01-06,2025-01,HCP0273,T009,REP009,PROD024,28,3580.36,178.01,3402.35,Hospital
SALE000225,2025-01-29,2025-01,HCP0106,T010,REP010,PROD012,142,209258.3,6666.63,202591.67,Distributor
SALE000226,2025-01-16,2025-01,HCP0010,T010,REP010,PROD016,25,5399.5,219.01,5180.49,Hospital
SALE000227,2025-01-14,2025-01,HCP0154,T010,REP010,PROD020,60,256516.8,11384.31,245132.49,Distributor
SALE000228,2025-01-26,2025-01,HCP0478,T010,REP010,PROD008,90,379458.0,18636.42,360821.58,Distributor
SALE000229,2025-01-22,2025-01,HCP0346,T010,REP010,PROD012,29,42735.85,4130.44,38605.41,Retail
SALE000230,2025-01-03,2025-01,HCP0034,T010,REP010,PROD003,54,218346.3,9535.81,208810.49,Retail
SALE000231,2025-01-16,2025-01,HCP0346,T010,REP010,PROD004,38,92678.58,7656.11,85022.47,Retail
SALE000232,2025-01-17,2025-01,HCP0034,T010,REP010,PROD019,20,28834.6,1047.81,27786.79,Distributor
SALE000233,2025-01-25,2025-01,HCP0226,T010,REP010,PROD018,16,51294.08,3244.61,48049.47,Retail
SALE000234,2025-01-25,2025-01,HCP0238,T010,REP010,PROD023,78,260122.2,6744.72,253377.48,Retail
SALE000235,2025-01-27,2025-01,HCP0214,T010,REP010,PROD011,56,239335.6,21565.47,217770.13,Retail
SALE000236,2025-01-17,2025-01,HCP0322,T010,REP010,PROD004,28,68289.48,6499.56,61789.92,Hospital
SALE000237,2025-01-07,2025-01,HCP0034,T010,REP010,PROD003,24,97042.8,13342.86,83699.94,Retail
SALE000238,2025-01-04,2025-01,HCP0058,T010,REP010,PROD018,25,80147.0,9249.05,70897.95,Hospital
SALE000239,2025-01-29,2025-01,HCP0082,T010,REP010,PROD003,81,327519.45,27938.47,299580.98,Retail
SALE000240,2025-01-11,2025-01,HCP0238,T010,REP010,PROD007,70,184907.1,20056.34,164850.76,Retail
SALE000241,2025-01-19,2025-01,HCP0430,T010,REP010,PROD012,31,45683.15,3813.96,41869.19,Hospital
