campaign_id,campaign_name,product_id,territory_id,campaign_type,start_date,end_date,budget,target_hcp_tier,objective
CAMP0045,HepatoSafe Adoption Campaign,PROD020,T009,Digital Ad,2026-03-30,2026-05-27,964620,All Tiers,Drive product adoption
CAMP0046,NervePlus Awareness Campaign,PROD021,T010,Webinar,2025-12-30,2026-04-06,461082,All Tiers,Increase brand awareness
CAMP0047,ChemoCare Awareness Campaign,PROD022,T011,Digital Ad,2025-12-21,2026-03-02,1153206,All Tiers,Drive product adoption
CAMP0048,Dermashield Adoption Campaign,PROD023,T012,Webinar,2025-10-04,2025-11-05,1040500,Tier 1,Support call planning
CAMP0049,JointEase Recall Campaign,PROD024,T001,Email,2025-12-13,2026-03-19,226129,Tier 2,Improve HCP engagement
CAMP0050,CardioMax Awareness Campaign,PROD025,T002,Field Event,2026-03-07,2026-04-28,1129721,All Tiers,Drive product adoption
CAMP0051,Cardiovance Adoption Campaign,PROD001,T003,Digital Ad,2025-06-07,2025-09-10,412377,Tier 2,Improve HCP engagement
CAMP0052,GlucoRight Adoption Campaign,PROD002,T004,Field Event,2025-03-18,2025-04-21,936404,All Tiers,Improve HCP engagement
CAMP0053,RespiraPlus Awareness Campaign,PROD003,T005,Digital Ad,2025-01-17,2025-03-31,736207,Tier 1,Increase brand awareness
CAMP0054,GastroEase Growth Campaign,PROD004,T006,Webinar,2025-08-30,2025-12-19,1162923,Tier 3,Improve HCP engagement
CAMP0055,NeuroCalm Awareness Campaign,PROD005,T007,Webinar,2025-03-09,2025-04-25,335882,Tier 2,Support call planning
CAMP0056,OncoRelief Awareness Campaign,PROD006,T008,Email,2025-06-03,2025-07-23,702887,Tier 3,Increase brand awareness
CAMP0057,DermaCure Adoption Campaign,PROD007,T009,Webinar,2025-07-30,2025-11-13,642504,Tier 1,Support call planning
CAMP0058,PainAway Awareness Campaign,PROD008,T010,Email,2025-07-02,2025-08-05,709440,Tier 3,Support call planning
CAMP0059,LipidSure Growth Campaign,PROD009,T011,Digital Ad,2026-03-21,2026-05-16,604198,Tier 1,Support call planning
CAMP0060,InsuCare Awareness Campaign,PROD010,T012,Field Event,2025-05-27,2025-09-21,601397,Tier 1,Increase brand awareness
